field,block,pull / derived,definition,S&P / SNL source hint
amb_number,Identifier,pull,AM Best rating-unit ID,AM Best / S&P rating record
rating_unit_name,Identifier,pull,Group name as AM Best names it,AM Best release
lead_entity,Identifier,pull,Legal entity whose statutory statement is pulled,SNL entity
naic_code,Identifier,pull,NAIC company code of lead entity,SNL / NAIC
domicile_state,Identifier,pull,Lead entity domicile,Statutory
ownership,Identifier,pull,mutual / stock / MHC / fraternal / RRG,SNL
ultimate_parent,Identifier,pull,Top of ownership chain,SNL
data_as_of,Identifier,pull,Statutory statement date (YE2025),Statutory
stratum,Identifier,pull,Sampling tag from roster (QC only),Roster
fsr,Outcome (Y),pull,Financial Strength Rating (A++ … D),AM Best release
icr,Outcome (Y),pull,Long-Term Issuer Credit Rating (aaa … c),AM Best release
outlook,Outcome (Y),pull,stable / positive / negative,AM Best release
under_review,Outcome (Y),pull,Under-review flag + implication,AM Best release
bs_assessment,Outcome (Y),pull,Strongest / Very Strong / Strong / Adequate / Weak,AM Best release
op_assessment,Outcome (Y),pull,Strong / Adequate / Marginal / Weak,AM Best release
bp_assessment,Outcome (Y),pull,Favorable / Neutral / Limited / Very Limited,AM Best release
erm_assessment,Outcome (capture only),pull,Very Strong / Appropriate / Marginal / Weak — NOT modeled,AM Best release
rating_action_date,Outcome (Y),pull,Date of the action that set the assessments,AM Best release
last_action_type,Outcome (Y),pull,affirm / upgrade / downgrade / outlook / under review,AM Best release
source_url,Outcome (Y),pull,Link to AM Best release or S&P rating record,—
rbc_cal_pct,Balance sheet,pull,TAC ÷ Company Action Level RBC — PRIMARY,SNL RBC page / Five-Yr Hist.
tac_usd,Balance sheet,pull,Total Adjusted Capital ($000),SNL RBC page
acl_rbc_usd,Balance sheet,pull,Authorized Control Level RBC ($000),SNL RBC page
capital_surplus_usd,Balance sheet,pull,Capital & surplus ($000),Statutory balance sheet
avr_usd,Balance sheet,pull,Asset Valuation Reserve ($000),Statutory
total_invested_assets_usd,Balance sheet,pull,Total invested (admitted) assets ($000) — denom for asset mix,Statutory
total_reserves_usd,Balance sheet,pull,Total policy reserves ($000),Statutory
surplus_notes_usd,Balance sheet,pull,Surplus notes outstanding ($000),Statutory
reinsurance_leverage,Balance sheet,pull,Reinsurance recoverable ÷ capital (counterparty reliance),SNL
modco_funds_withheld_usd,Balance sheet,pull,Modco / funds-withheld balances if material ($000),Statutory Sched S
capital_contributions_5yr,Balance sheet,pull,"Parent capital infusions, 5-yr ($000)",Statutory surplus acct
bonds_pct,Balance sheet,pull,Bonds ÷ total invested assets (%),Statutory Sched D
naic_class1_pct,Balance sheet,pull,NAIC 1 bonds ÷ total bonds (%),Sched D
naic_class2_pct,Balance sheet,pull,NAIC 2 bonds ÷ total bonds (%),Sched D
below_ig_pct,Balance sheet,pull,NAIC 3–6 bonds ÷ total bonds (%),Sched D
schedule_ba_pct,Balance sheet,pull,Schedule BA (alts/LP/PE) ÷ invested assets (%),Sched BA
mortgage_pct,Balance sheet,pull,Mortgage loans ÷ invested assets (%),Sched B
cml_pct,Balance sheet,pull,Commercial mortgage subset ÷ invested assets (%),Sched B
real_estate_pct,Balance sheet,pull,Real estate ÷ invested assets (%),Sched A
affiliated_pct,Balance sheet,pull,Affiliated investments ÷ invested assets (%),Statutory
common_stock_pct,Balance sheet,pull,Unaffiliated common stock ÷ invested assets (%),Sched D-2
net_unrealized_usd,Balance sheet,pull,Net unrealized gain/(loss) on bonds ($000) — rate drag,Statutory / Sched D
bond_avg_maturity,Balance sheet,pull,Wtd avg maturity or effective duration (yrs),Sched D
fhlb_advances_usd,Balance sheet,pull,FHLB borrowings ($000),Statutory notes
adverse_dev_3yr_usd,Balance sheet,pull,"Reserve strengthening / adverse development, 3-yr ($000)",Statutory / notes
aat_result,Balance sheet,pull,Asset adequacy / CF testing result if disclosed (pass/shortfall),Actuarial opinion
